date,subscribers,reviews
2020/2/15,6399,854
2020/2/16,6399,854
2020/2/17,6407,857
2020/2/18,6411,860
2020/2/19,6412,861
2020/2/20,6413,861
2020/2/21,6428,862
2020/2/22,6436,862
2020/2/23,6439,867
2020/2/24,6442,868
2020/2/25,6455,869
2020/2/26,6460,871
2020/2/27,6470,872
2020/2/28,6482,873
2020/2/29,6495,876
2020/3/1,6500,876
